100 1500 3 
1 -74 -33 -49
1 -11 46 56
1 12 -82 11
1 -3 80 33
1 -65 -11 13
1 7 48 -61
1 -84 -85 -15
1 -4 41 25
1 93 -28 15
1 -7 82 66
1 -92 -12 22
1 59 23 -35
1 97 -78 82
1 -21 24 51
1 -56 -59 -67
1 -69 -76 -33
1 4 -37 93
1 94 69 -64
1 63 15 -18
1 -18 99 -15
1 43 29 -79
1 -9 42 -19
1 -11 55 61
1 62 -19 74
1 61 -3 84
1 83 6 51
1 -60 43 -57
1 13 -25 -26
1 30 17 71
1 69 87 61
1 -37 -76 -56
1 52 76 -100
1 32 -48 -84
1 13 12 -44
1 -16 78 -68
1 73 -97 98
1 33 31 -52
1 54 16 52
1 -23 -9 -77
1 -80 -46 18
1 39 94 13
1 62 31 -56
1 -76 33 38
1 41 -15 -94
1 57 40 72
1 -18 65 -61
1 14 26 80
1 86 78 92
1 -6 -45 -46
1 19 -80 -58
1 98 87 -49
1 -1 7 73
1 -31 -3 10
1 -66 -15 24
1 28 19 -11
1 72 -93 -12
1 75 -12 -85
1 -10 34 38
1 96 89 -55
1 25 10 -39
1 91 9 -74
1 12 44 75
1 -71 -50 54
1 -37 10 18
1 83 -15 90
1 -65 -97 69
1 -29 -80 -11
1 78 98 81
1 -23 -92 21
1 6 -42 -29
1 40 -39 -30
1 32 69 64
1 36 48 -19
1 -45 -22 -65
1 -27 -43 -64
1 88 90 -59
1 57 -22 61
1 -54 -3 97
1 -58 -79 -72
1 84 91 36
1 -37 11 93
1 67 -80 38
1 31 -3 -100
1 -82 19 -6
1 -85 -70 -73
1 -22 -80 -9
1 27 92 6
1 -34 -45 -82
1 -89 -22 92
1 -31 -42 -79
1 26 19 -63
1 97 -12 96
1 -69 50 12
1 53 26 -27
1 -18 -79 -13
1 34 -46 -73
1 -67 -38 40
1 96 -40 -88
1 77 90 -65
1 61 -47 -63
1 69 -59 -90
1 53 -65 8
1 -4 22 41
1 -37 74 56
1 -73 -82 34
1 -20 -53 -9
1 -54 88 40
1 65 -68 -20
1 -31 -67 -69
1 -12 -69 4
1 -73 56 -11
1 -4 91 -69
1 99 -71 -65
1 52 -50 -60
1 25 12 -78
1 -92 50 -48
1 87 -53 85
1 -21 -22 -13
1 -81 84 -1
1 -35 27 43
1 55 52 96
1 37 87 -23
1 25 96 38
1 31 3 -36
1 63 -26 45
1 -93 43 82
1 -23 68 -32
1 -98 -47 -16
1 -58 36 74
1 36 49 89
1 8 -15 -69
1 92 18 96
1 94 -77 30
1 30 42 13
1 76 -8 71
1 45 -22 85
1 -53 -63 -95
1 63 -57 10
1 -40 84 77
1 41 82 -57
1 54 -6 -73
1 -99 -97 -1
1 49 -88 81
1 -60 -82 52
1 -33 17 100
1 47 -75 -58
1 30 55 64
1 -62 -34 -63
1 94 -66 -79
1 85 97 23
1 -55 61 43
1 -87 23 47
1 -95 99 -87
1 -38 -93 -23
1 -96 -62 70
1 94 90 -69
1 -62 33 18
1 24 -29 7
1 -72 -36 54
1 78 42 -50
1 23 71 -48
1 41 -67 15
1 18 39 -85
1 8 55 -60
1 -75 -2 42
1 33 11 -3
1 -60 -99 92
1 73 -45 50
1 -92 47 98
1 73 90 -20
1 -44 42 72
1 -82 13 -63
1 -43 -76 56
1 -3 8 2
1 89 4 -91
1 -43 63 -86
1 67 -56 39
1 -1 -33 3
1 53 98 -16
1 -32 91 -83
1 -72 93 81
1 91 -83 37
1 -65 67 43
1 -33 -98 27
1 -74 -52 -49
1 -19 -78 -12
1 -70 -42 -10
1 -22 -70 11
1 69 -18 95
1 1 -31 69
1 5 -51 79
1 30 78 -84
1 -27 29 75
1 -12 26 -95
1 -64 92 26
1 -28 -78 -68
1 -3 46 65
1 9 99 -31
1 -53 -83 42
1 87 54 -3
1 -100 12 61
1 -12 -64 -7
1 -61 -38 -3
1 86 -83 54
1 -99 42 84
1 -30 -83 76
1 -26 48 17
1 83 46 -82
1 -13 -7 -97
1 75 2 -53
1 -21 -66 77
1 -67 -29 -7
1 -96 -80 -20
1 -43 100 45
1 46 -87 -52
1 -80 -15 -89
1 29 7 -17
1 8 -81 47
1 -8 -66 92
1 100 63 -22
1 -37 -69 -76
1 -17 -36 -23
1 22 -54 19
1 -31 -90 25
1 63 53 78
1 -40 -94 9
1 90 12 96
1 94 -47 -27
1 -92 -83 -30
1 50 86 80
1 -100 -35 87
1 14 74 69
1 -26 -46 21
1 -38 49 -89
1 -26 -40 91
1 -90 -96 6
1 -99 -92 -28
1 -72 -89 59
1 10 -97 42
1 -47 59 -90
1 30 64 -51
1 12 25 6
1 35 -32 45
1 -25 -26 82
1 1 -91 63
1 7 -74 3
1 -60 -8 -17
1 -80 88 -60
1 68 79 28
1 -8 -26 36
1 39 -2 47
1 -9 -33 20
1 50 91 -98
1 64 79 -75
1 -94 72 51
1 -17 14 -8
1 12 -43 16
1 48 -80 -22
1 -12 -32 -64
1 -63 50 7
1 53 42 -64
1 4 36 -68
1 -81 58 14
1 71 -92 -68
1 -39 25 -50
1 48 46 -34
1 82 -70 -95
1 72 8 -43
1 54 -32 43
1 -54 35 18
1 -96 -2 -39
1 69 23 17
1 -16 -27 -93
1 22 -12 -98
1 -100 80 -51
1 71 -36 34
1 67 79 -19
1 3 -34 24
1 -24 40 -92
1 32 81 -83
1 24 -77 -74
1 63 -27 -82
1 -43 -41 -87
1 -79 38 21
1 -26 -71 -25
1 97 -53 -28
1 97 -82 -36
1 -40 -69 -48
1 60 72 53
1 42 -50 57
1 74 43 -1
1 19 78 -76
1 96 6 -76
1 1 17 60
1 22 -33 65
1 51 13 -70
1 -21 -51 -18
1 -100 -26 77
1 -96 -37 -89
1 -10 21 44
1 -20 -80 65
1 75 -51 -4
1 -100 96 28
1 52 -31 -6
1 -51 3 -78
1 19 99 -6
1 -56 -12 92
1 62 -91 15
1 -88 -14 -71
1 -94 34 59
1 -62 -84 94
1 1 61 42
1 -56 -18 -27
1 84 -100 -49
1 68 -5 17
1 -29 19 61
1 80 5 -100
1 55 -75 -64
1 -80 33 4
1 -40 -82 2
1 94 70 -38
1 19 29 -99
1 -86 88 -92
1 -33 -41 -44
1 -58 -95 -60
1 -15 -56 -81
1 24 26 -88
1 -90 18 -27
1 54 5 -83
1 83 54 -58
1 29 44 -88
1 -21 -85 53
1 -50 -51 -99
1 96 -40 -5
1 -27 14 67
1 -96 -9 53
1 -29 46 -40
1 -16 44 6
1 40 36 72
1 45 -5 51
1 75 -24 7
1 -65 52 22
1 29 35 -7
1 -77 96 -34
1 42 -100 96
1 -58 -40 -94
1 47 51 -75
1 -87 59 -16
1 -6 42 3
1 -63 -1 -29
1 53 26 -40
1 83 -43 10
1 -36 -7 98
1 51 55 -8
1 -12 64 88
1 75 -47 -61
1 -83 49 51
1 -71 60 89
1 77 91 -20
1 -67 -14 -9
1 -85 71 5
1 53 88 -13
1 -60 89 18
1 68 -33 18
1 -13 48 95
1 -50 -81 -5
1 88 68 -65
1 42 16 -34
1 -52 48 -70
1 -38 -18 29
1 61 21 -41
1 5 99 -32
1 25 39 -38
1 19 81 -99
1 14 -53 -88
1 5 96 -93
1 -50 82 -78
1 -10 -4 75
1 84 32 -81
1 -32 92 -100
1 14 -56 62
1 -72 -50 -67
1 -5 90 -14
1 -44 45 -81
1 48 31 24
1 6 67 69
1 68 51 -29
1 27 -51 21
1 -60 -90 -53
1 89 52 -37
1 -75 9 62
1 -9 -42 44
1 -57 1 14
1 -27 94 -91
1 41 -32 85
1 -7 -92 -94
1 44 34 -21
1 -95 -75 -40
1 -19 -65 76
1 -22 -48 76
1 -45 -71 56
1 58 -90 -16
1 -7 88 -59
1 51 17 20
1 92 74 -22
1 -96 52 -23
1 73 -44 -19
1 63 61 -92
1 35 -46 -98
1 -13 -32 -81
1 -11 -67 47
1 -86 -6 22
1 8 58 69
1 64 -75 93
1 33 38 -23
1 87 -57 -29
1 99 -53 73
1 -34 96 -22
1 50 74 47
1 47 70 30
1 -43 89 54
1 69 84 61
1 15 25 -48
1 -89 35 -93
1 -15 -25 -98
1 97 71 69
1 39 -11 -67
1 73 88 90
1 -43 -98 -87
1 87 -52 41
1 68 -27 66
1 -61 29 -3
1 -44 14 62
1 68 53 -10
1 -74 -54 97
1 -52 40 61
1 -74 53 -8
1 64 82 -12
1 78 30 41
1 63 32 -85
1 -64 -89 -56
1 34 -59 -100
1 -44 28 46
1 45 1 88
1 48 7 -44
1 -42 -68 -55
1 -3 -83 97
1 68 93 62
1 84 -62 -29
1 97 66 -83
1 83 -59 -37
1 66 53 -32
1 13 2 -37
1 7 -29 20
1 52 -35 -65
1 34 67 91
1 51 53 26
1 22 31 -71
1 3 1 38
1 79 -29 -27
1 -9 75 -30
1 -82 -55 43
1 -96 -16 81
1 72 -34 -98
1 21 95 84
1 -40 3 6
1 -74 -83 11
1 -14 -28 -1
1 -76 1 -82
1 67 86 -70
1 58 -33 42
1 -56 -32 -53
1 -98 -52 94
1 -93 2 -98
1 47 34 78
1 63 -58 5
1 56 19 -35
1 -49 92 -13
1 -69 97 90
1 -97 76 -58
1 -71 16 9
1 -38 -93 4
1 -73 -9 -60
1 -93 -63 -94
1 64 -82 18
1 -100 51 90
1 58 96 49
1 49 70 63
1 6 -17 82
1 17 24 -77
1 -81 -99 6
1 54 88 28
1 -10 51 79
1 -21 27 64
1 34 28 -12
1 -42 -91 38
1 63 -5 -43
1 18 82 -29
1 34 18 26
1 -92 48 -24
1 42 -67 -92
1 52 95 100
1 61 12 74
1 -10 38 9
1 95 84 -54
1 -39 49 11
1 13 36 57
1 -71 -34 -56
1 -52 99 16
1 -18 72 41
1 71 -29 41
1 43 -3 -30
1 94 -76 46
1 -5 -75 -71
1 56 -25 -47
1 57 -43 -77
1 -83 23 -4
1 -51 -35 -38
1 52 -60 36
1 78 -76 -27
1 -77 11 62
1 -20 -52 -58
1 -20 82 -32
1 -45 1 -75
1 70 99 -9
1 -68 33 24
1 -3 85 20
1 -58 94 -97
1 -73 -24 33
1 -69 -8 -78
1 82 -23 -85
1 -33 -5 -30
1 56 53 -67
1 -89 -73 -57
1 97 35 14
1 -17 -58 92
1 63 -54 -18
1 70 10 -88
1 -52 -37 -81
1 47 36 49
1 -12 -2 44
1 27 -30 99
1 -2 -18 43
1 -97 57 24
1 33 22 46
1 -75 10 -11
1 81 62 -5
1 87 2 85
1 -95 6 57
1 65 -96 -30
1 12 -17 58
1 -4 -25 -31
1 61 44 11
1 65 96 -36
1 -43 48 -34
1 -62 -14 76
1 -14 -47 29
1 -44 30 -84
1 87 -14 21
1 61 -16 89
1 25 -4 99
1 64 -49 89
1 -33 8 83
1 -12 10 38
1 -90 -7 -6
1 31 35 55
1 9 3 -42
1 69 61 42
1 28 -50 -44
1 -44 1 100
1 77 -11 -41
1 -43 21 -84
1 -10 76 -95
1 -74 -52 -61
1 -8 -62 44
1 -91 -4 75
1 35 27 37
1 -99 74 -21
1 91 80 -22
1 -60 64 -30
1 43 -13 98
1 79 70 77
1 -59 -47 24
1 -82 37 99
1 -93 -51 -62
1 -87 -95 -57
1 -46 3 -45
1 -23 75 94
1 53 -60 -40
1 3 -52 -18
1 14 -71 35
1 -74 11 -81
1 -75 -45 -96
1 -79 66 69
1 2 -18 58
1 -64 -98 28
1 -5 2 -74
1 29 23 35
1 -57 97 58
1 -8 73 -14
1 17 -93 100
1 26 -78 54
1 -25 -81 -11
1 91 -18 77
1 8 -16 -34
1 -65 -68 55
1 -19 -16 99
1 3 -32 39
1 85 -52 65
1 -39 -92 -4
1 -74 -35 -61
1 -46 78 67
1 -99 -86 54
1 93 44 55
1 -95 45 -93
1 72 -83 19
1 96 -14 -17
1 -21 -59 26
1 37 62 93
1 -76 70 17
1 79 2 54
1 22 88 97
1 66 -72 12
1 27 74 -2
1 10 -38 32
1 -55 90 -24
1 -69 -47 -16
1 -18 -23 20
1 21 -12 -45
1 -92 27 38
1 -43 42 50
1 -31 -48 -87
1 53 -45 -6
1 81 -54 53
1 -35 19 39
1 17 47 -50
1 86 -23 -19
1 99 -19 67
1 82 -30 -59
1 -22 -1 44
1 94 18 -68
1 92 -45 75
1 -99 80 -62
1 13 44 36
1 16 -36 -47
1 -20 46 -45
1 -92 42 45
1 -28 31 9
1 -17 82 -78
1 10 -23 -42
1 -9 66 14
1 41 54 -30
1 38 -18 25
1 38 -62 78
1 -24 -16 47
1 -64 -23 45
1 -65 -96 -27
1 19 -62 43
1 53 -23 18
1 -57 -96 -8
1 42 93 78
1 -88 -55 1
1 59 6 -18
1 25 -29 -42
1 -7 -93 -84
1 20 -58 -3
1 63 -100 60
1 75 -27 -12
1 -32 -37 -29
1 -63 -79 85
1 7 -43 33
1 61 16 -92
1 94 89 70
1 -99 -84 -70
1 -18 -16 9
1 2 13 55
1 87 -24 -39
1 -84 16 -33
1 40 24 -84
1 -70 39 53
1 -7 -6 -41
1 -24 37 -88
1 -25 15 95
1 -38 61 85
1 71 44 -70
1 -63 82 55
1 54 -28 -96
1 -20 65 36
1 -32 -26 -67
1 -44 2 4
1 51 66 21
1 46 -10 91
1 -7 -8 -1
1 42 -49 -67
1 43 3 54
1 -21 -77 -66
1 -32 78 65
1 43 41 -17
1 -48 100 75
1 -16 -10 -81
1 -32 17 81
1 4 -65 -62
1 -71 54 -16
1 97 9 75
1 -5 -46 -7
1 -47 41 87
1 -61 39 -16
1 2 -40 12
1 -75 -74 82
1 59 -13 54
1 72 -89 87
1 34 95 -35
1 -79 -4 90
1 -30 33 -77
1 80 69 32
1 61 32 51
1 -60 -95 51
1 94 -73 -21
1 -45 74 54
1 85 92 -59
1 88 47 60
1 79 -75 12
1 -12 -27 62
1 -10 61 -35
1 13 73 16
1 27 85 -61
1 2 73 48
1 -93 -60 -7
1 50 87 -70
1 93 34 49
1 82 -44 6
1 73 49 8
1 -71 -45 -55
1 -22 45 66
1 -3 80 -86
1 -91 86 98
1 -100 -97 -1
1 67 -8 3
1 66 -43 72
1 69 -89 -3
1 37 35 51
1 -94 57 -70
1 -12 -24 31
1 12 21 62
1 -11 75 85
1 -44 -41 -26
1 -68 97 12
1 -17 84 -33
1 -83 91 42
1 29 97 55
1 92 39 -43
1 69 30 50
1 -66 -28 -27
1 -13 -93 -65
1 -87 -82 -63
1 -93 62 -85
1 51 69 44
1 70 53 8
1 43 95 -39
1 16 80 48
1 -35 28 58
1 -88 -54 -28
1 -26 50 -45
1 -77 -26 15
1 -72 -51 75
1 -30 -20 -90
1 16 -2 -65
1 75 -77 -96
1 47 -66 -15
1 -22 85 -66
1 -91 98 -96
1 -50 33 -94
1 88 -59 70
1 41 64 -73
1 -11 -44 25
1 78 -47 -52
1 -70 -71 33
1 -44 90 71
1 100 22 -64
1 82 69 97
1 -55 91 -43
1 -22 3 78
1 1 -82 -76
1 39 -99 16
1 -5 -83 -77
1 -28 -61 -54
1 -92 -67 -53
1 95 -18 -55
1 44 -65 21
1 98 28 73
1 -18 26 -55
1 -56 -24 -32
1 93 -89 36
1 33 17 1
1 65 5 52
1 38 97 -53
1 76 -38 60
1 -35 20 -54
1 -47 4 -61
1 99 39 24
1 32 -93 26
1 57 -70 83
1 -23 -31 52
1 -6 5 30
1 -72 -58 -42
1 -28 -84 -17
1 21 50 47
1 -75 18 -70
1 84 -58 45
1 -50 31 -74
1 66 3 71
1 -3 -64 11
1 -17 5 -84
1 -49 -33 -75
1 41 100 -8
1 -45 70 -2
1 50 40 -11
1 67 59 81
1 84 92 26
1 79 15 35
1 -78 70 -39
1 -51 77 20
1 81 -27 43
1 -20 -4 21
1 -30 -55 -86
1 -46 75 -33
1 -8 -58 -63
1 -84 47 55
1 90 94 43
1 74 18 -37
1 -42 97 13
1 46 -93 11
1 -73 -69 -5
1 85 54 77
1 -63 86 41
1 89 91 -37
1 98 -28 88
1 32 -16 33
1 -96 -65 -45
1 19 77 -6
1 -44 37 -41
1 -11 -34 -3
1 -40 44 -59
1 -40 -16 -83
1 -60 -70 30
1 18 69 46
1 74 -17 65
1 48 -35 86
1 -41 4 99
1 -81 -7 13
1 25 -23 48
1 6 2 45
1 81 -49 -61
1 -14 -100 4
1 83 76 -13
1 91 59 -95
1 -25 62 -67
1 -82 -99 -56
1 -99 79 -84
1 39 -54 -91
1 -3 66 20
1 -62 -12 -22
1 -41 20 60
1 11 -14 -87
1 -71 -52 -39
1 -5 -16 -100
1 -59 53 -47
1 63 71 77
1 49 -3 28
1 81 95 -24
1 -85 5 37
1 -77 -86 73
1 -42 -55 -94
1 74 -54 20
1 -66 -36 19
1 -70 5 -67
1 -2 72 -53
1 78 89 63
1 4 -76 -68
1 62 -100 -64
1 77 58 -74
1 55 -4 -28
1 16 -83 -95
1 66 -57 35
1 39 -30 86
1 100 22 -43
1 53 -93 -51
1 -99 -83 -56
1 -74 -23 -6
1 79 66 -96
1 38 -53 56
1 37 -99 -49
1 -54 20 24
1 70 60 67
1 95 59 87
1 -13 -38 29
1 9 -83 66
1 -20 -95 -43
1 31 40 10
1 91 12 -96
1 -82 -24 66
1 83 -74 27
1 65 86 20
1 -88 -90 57
1 -91 -43 -10
1 61 53 -15
1 27 -19 -36
1 26 -3 69
1 1 -95 2
1 -48 -44 -69
1 -84 -10 94
1 -26 -95 35
1 -28 -79 34
1 89 -20 85
1 7 -4 -61
1 -80 16 -12
1 -37 -92 -12
1 48 36 -33
1 -12 -60 67
1 65 -23 66
1 -26 33 -29
1 11 10 49
1 -30 92 84
1 5 -21 -64
1 -64 -95 -45
1 3 -39 -40
1 80 42 85
1 79 -32 -20
1 -56 71 -67
1 27 -5 92
1 -18 50 -37
1 54 85 67
1 58 53 -2
1 -86 -36 78
1 24 46 -96
1 -30 -89 19
1 85 76 -36
1 19 51 -61
1 -53 -44 84
1 30 86 -17
1 91 10 -68
1 -76 47 58
1 -97 -87 -9
1 9 11 -79
1 47 -76 96
1 46 49 97
1 -84 -3 -88
1 -85 -21 -91
1 53 7 16
1 84 1 42
1 -57 -40 -30
1 -6 74 -86
1 -35 -42 -56
1 -60 63 80
1 98 14 5
1 10 13 27
1 -44 -36 -1
1 94 -56 31
1 96 -42 30
1 -84 -63 80
1 59 77 -26
1 -1 -24 99
1 33 -90 9
1 -15 80 5
1 -20 76 -24
1 72 -26 -19
1 -97 6 75
1 38 89 -9
1 -11 63 87
1 -9 17 -94
1 79 2 -78
1 53 14 45
1 -21 24 38
1 -46 -81 54
1 -23 -43 36
1 -64 6 19
1 53 -46 14
1 28 60 -56
1 -61 21 66
1 -15 -75 87
1 33 100 -97
1 -55 -40 -90
1 -38 -27 4
1 17 -13 -10
1 -2 47 -94
1 52 28 -82
1 -51 -73 -70
1 78 80 27
1 6 -88 -24
1 51 55 30
