  100  468    3
  121   37  -27   30
  113  -17  -14   18
   50   32   11   28
  184  -30  -23   19
  187  -19   45   39
   86  -22   37   16
  205  -23  -20  -40
  226  -22  -25    7
  228   26   -3   10
  188  -32   43   36
  148   35   34   13
  202  -16   26   34
  198   10  -43   28
  221  -37   11   -3
  126  -11   34   -2
  245    8  -41   -6
  112  -49  -11   50
  228    6    2  -49
  168   46    5   12
  195  -10    2   16
  210   -2   21   37
  237  -32   47   25
   85  -25   45   -2
  118  -31   12   28
   85  -18   25   49
  136  -17   37   49
  202  -33   27   15
  202  -14  -24  -19
   63   12    9  -40
  215   12   40  -34
  145  -12   24  -48
  181  -30   20    6
   85   -3   24  -41
   85   -5   32   17
  229   11  -44   -2
   65    1  -31  -12
  232    2  -10  -11
  150   29   -4  -25
  138  -36   -5   33
   71    1    3  -12
  115  -30  -19    5
  151   13   34  -29
   63  -18  -14   43
  142   29  -31  -15
   56  -38  -27   22
  239   36    5  -47
  226  -25   46   32
  216  -27  -39  -26
   84   34  -38   -4
   98   28   -4  -27
  188  -27   46  -42
   85  -47  -37   -3
   86   18   25   45
  137   29   19  -47
   52  -13   41   18
   82   33   17  -24
  110  -44   29   16
  244  -38  -46  -37
   92   22  -42   25
   84   -5   41    1
  129  -10   42   48
   57   -3  -12  -35
  125   16  -10   26
  176   34   20   37
  108  -33   20   30
  144   23   44   17
  192   28  -44    6
  148   44    3  -22
  229  -31   -8  -50
  126  -34   47   14
  201   -6  -20  -27
  221  -31   19  -11
   50   30    4   34
  161  -11   27  -14
  215   43   33  -18
  206  -27   47  -41
  209   43   34   41
  112   13  -28  -40
   55   31  -43  -19
  215  -33    6   12
   53  -45    5   15
  245   43  -20   25
  173   47   23   14
   56   26  -47   21
  158   34   49    2
  223   38   -2  -25
  129  -10   34  -49
  143   44  -32   -7
   81  -11   38   49
  167   17   43  -35
  172    9  -23   22
  109   15  -34   -3
  229  -10  -32   25
  250  -29   18   -5
  225  -47   31   29
   61   -8   44   26
  130   17   12  -33
   68  -45  -44   -7
  223   -6  -39  -34
  152  -34  -43   48
  249  -48    5  -47
   52   -8   -6   15
  174    6  -41   37
  130  -11  -44    8
  104   25  -23  -40
   78    9  -29   35
  122   -3   49  -39
   90  -30  -40   26
  104    4   11  -21
  152  -25   -2   -8
   73   33  -29  -13
  246   -3  -30   -2
   75  -45   11   34
   59   16  -41   23
   93  -21  -48  -18
  230   -2   24   25
  235  -31   43   -2
  120   -1  -21   41
  149    8  -27  -49
  109   14  -21  -47
  151  -42  -12   41
  226   22    1   -5
   51  -34    1   -4
  169   -7  -45  -33
  159    6   40    5
  108   29  -27  -38
  144  -12   44   18
  163   -2   49  -33
   75   -5  -29   35
  214   -5  -33   20
  226   -4  -26   33
  168   -5  -47   24
  242   -6   45  -26
  129   48   35   41
   56  -34   -2  -31
  114  -43   36   -4
  169  -18   43  -31
  180   14   -1  -11
  195   26    6   35
   81   33   24    4
   89  -49   23    7
  335  -27   62   68
  193   -2   29  -53
   17  -25  -34  -54
  505  -52  -54   78
    5    3    8   67
  518  -15  -55   80
  283    3  -73   93
  233   52   71   72
  467   30   93  -95
  570  -18  -33 -100
   46   12   51  -95
  560   48  -51  -96
  357   66  -72  -84
   55  -58   79 -100
  973  -32   51   84
  325  -18   38   67
  838    9  -16  -84
  499  -37   40  -50
  777   24   25   56
  620   -6  -23  -83
  492   52  -65   82
   75  -61  -63   69
 1000  -33   49   89
  617   45   72 -100
  160   -9  -35   90
  356  -28   43  -80
  229    2   -8  -50
  976    2   27  -95
  339  -32  -43  -48
   70   22  -35  -50
  523   50   55   62
  946   48  -51   93
  742   69  -80  -91
  423  -42  -61   78
  818   28   52  -62
   17   70  -79  100
  593  -36   71   77
  665   12   17   76
  488  -24  -64   89
  969   -7   66   77
  411   -1    3   39
  142   -4  -27  -42
  934    1   57  -60
   42   13  -31   66
  216  -37  -42   89
  126  -41   60   93
  913  -27   47   76
  976    1  -33   44
  237   18  -25  -93
  497  -46   49  -59
  664   33   34   65
  115  -15  -32  -92
  745   13   40  -75
  970   56   63  -74
  795   27   65   91
  256   27  -42   46
  243  -17   27   80
  999   61  -74   91
  824  -18  -44   99
  298  -37   52  -89
  834   11  -17  -59
  465  -41  -52  -57
  252   31  -44  -59
  403   46   86   91
  712   46  -47   59
  983    2  -41  -73
  646    3    4   65
   85  -33  -62  -88
  194  -51  -70   87
  819   37   61  -71
  451  -45   80   86
  677   21   26   85
  871  -33  -73   98
  207   -8   13   79
  501  -24   27  -76
  740  -16   75   86
  486  -10   12   48
  932  -13  -36  -51
  267   -8   30   69
  412   10   66  -69
  381  -18   84  -90
  596  -46  -51   98
  704  -36   56   85
  281   -3   27  -34
  703    5   30  -61
  776  -55   58  -68
  742   42   43   74
  430    3  -24  -41
  599   22   49  -84
   33  -61  -71  -94
   92   65   72  -83
  862   36   74  100
  705  -26   36   89
  294   -5  -12  -51
  433   35  -66  -75
  739   -7  -24   42
  210    8   63   90
  661  -46   61  -98
   39   20  -26  -68
  637   -7   20   45
  693  -50  -61  -66
  834   40  -53  -68
  477   55   95  100
  711   55  -56   68
  658  -40   89   99
  838  -15  -38  100
  164   46   70  -80
  113    8   88  -97
  189  -54   89   95
  703  -26  -79  -81
   98   12   54   88
  218   -8   30 -100
  716   23   28  -70
   39   -1  -14  -24
  560   52  -61  -73
  234  -25   84   95
  415  -27  -49  -59
  193  -22  -45  -60
  462   19   75  -78
  318    9  -55  -60
  298  -12   36  -43
  897   53   55   73
  511   28   78   81
  519  -64   67  -77
  920   51   52   83
  706   55   69   70
  466   -3   85   98
  626    2   45   83
  852  -35   45   98
  411   16   79  -92
   83   44  -75  -84
  337  -27   29   68
  337   17   72   99
  876   -7  -36  -62
   10   29  -35  -77
  962  -16   29   54
  300   -4  -14   21
  103   49  -62  -77
  497   64  -65   77
  414   -9   75  -78
  283   12   43  -60
  865   15  -20   96
  220   -1  -49   98
  640   33   94   98
  307   -3  -24  -47
  895   36   98 -100
  556   55   79  -89
  976   -6   27   43
  930   59   76  -94
  253  -35  -88  -90
  899   -2  -27   40
  493   16   39   44
  194   21   63   97
  853    3  -17   39
  622   26   37  -83
  478    5    6   58
  194   32   37  -79
  731  -10  -23  -33
  157  -36  -58  -68
  892  -31  -54  -69
  781   28   84  -87
  379   18  -64  -69
  460  -16  -54   74
  376  -21   45  -52
  174   62   64   82
  674   37   87   90
  721  -73   76  -86
  377   12   40   67
